LH,c1,c2,mae,rms,std,dist,angle_1,angle_2,max_angle,ecc1,ecc2,ecc_dif
LHB,0,6,26.92,30.11,13.50,752.39,0.224,0.073,0.224,0.643,0.826,0.183
LHA,0,7,11.90,13.53,6.45,1088.37,0.297,0.360,0.360,0.864,0.891,0.027
LHB,0,7,18.59,20.64,8.97,1088.37,0.224,0.287,0.287,0.643,0.867,0.223
LHA,0,8,15.38,17.36,8.05,1362.73,0.297,0.503,0.503,0.864,0.874,0.010
LHB,0,8,21.72,24.20,10.66,1362.73,0.224,0.227,0.227,0.643,0.887,0.244
LHA,0,9,20.92,23.22,10.08,604.55,0.297,0.279,0.297,0.864,0.777,0.087
LHB,0,9,29.90,34.46,17.14,604.55,0.224,0.376,0.376,0.643,0.791,0.148
LHA,0,10,8.41,9.99,5.38,870.69,0.297,0.272,0.297,0.864,0.869,0.005
LHB,0,10,27.77,31.08,13.96,870.69,0.224,0.173,0.224,0.643,0.836,0.193
LHA,1,2,9.66,10.93,5.12,399.95,0.364,0.369,0.369,0.832,0.753,0.079
LHB,1,2,15.01,17.60,9.19,399.95,0.370,0.484,0.484,0.709,0.816,0.108
LHA,1,3,9.26,10.60,5.16,667.37,0.364,0.438,0.438,0.832,0.678,0.153
LHB,1,3,12.77,14.74,7.37,667.37,0.370,0.574,0.574,0.709,0.857,0.148
LHA,1,4,13.63,15.48,7.34,891.14,0.364,0.236,0.364,0.832,0.633,0.199
LHB,1,4,10.41,11.71,5.36,891.14,0.370,0.373,0.373,0.709,0.870,0.161
LHA,1,5,24.92,28.21,13.23,847.08,0.364,0.150,0.364,0.832,0.752,0.080
LHB,1,5,15.46,17.17,7.46,847.08,0.370,0.189,0.370,0.709,0.847,0.138
LHA,1,6,17.15,18.94,8.04,896.11,0.364,0.190,0.364,0.832,0.844,0.013
LHB,1,6,13.60,15.10,6.57,896.11,0.370,0.073,0.370,0.709,0.826,0.118
LHA,1,7,12.41,13.94,6.36,1349.35,0.364,0.360,0.364,0.832,0.891,0.059
LHB,1,7,9.52,10.81,5.13,1349.35,0.370,0.287,0.370,0.709,0.867,0.158
LHA,1,8,16.07,17.97,8.04,1501.10,0.364,0.503,0.503,0.832,0.874,0.043
LHB,1,8,13.96,15.46,6.65,1501.10,0.370,0.227,0.370,0.709,0.887,0.179
LHA,1,9,32.27,36.10,16.18,298.98,0.364,0.279,0.364,0.832,0.777,0.054
LHB,1,9,25.45,28.52,12.85,298.98,0.370,0.376,0.376,0.709,0.791,0.082
LHA,1,10,9.44,10.96,5.56,1093.29,0.364,0.272,0.364,0.832,0.869,0.037
LHB,1,10,15.09,16.77,7.31,1093.29,0.370,0.173,0.370,0.709,0.836,0.128
LHA,2,3,8.81,10.29,5.31,267.43,0.369,0.438,0.438,0.753,0.678,0.074
LHB,2,3,13.87,15.36,6.61,267.43,0.484,0.574,0.574,0.816,0.857,0.040
LHA,2,4,14.83,17.75,9.75,608.03,0.369,0.236,0.369,0.753,0.633,0.120
LHB,2,4,18.08,20.04,8.64,608.03,0.484,0.373,0.484,0.816,0.870,0.053
LHA,2,5,29.65,33.23,15.01,743.59,0.369,0.150,0.369,0.753,0.752,0.001
LHB,2,5,23.12,25.71,11.25,743.59,0.484,0.189,0.484,0.816,0.847,0.030
LHA,2,6,13.88,15.41,6.70,970.15,0.369,0.190,0.369,0.753,0.844,0.091
LHB,2,6,17.31,19.30,8.55,970.15,0.484,0.073,0.484,0.816,0.826,0.010
LHA,2,7,12.50,13.94,6.18,1490.29,0.369,0.360,0.369,0.753,0.891,0.138
LHB,2,7,11.89,13.25,5.85,1490.29,0.484,0.287,0.484,0.816,0.867,0.050
LHA,2,8,16.66,18.49,8.02,1501.17,0.369,0.503,0.503,0.753,0.874,0.122
LHB,2,8,16.99,18.79,8.01,1501.17,0.484,0.227,0.484,0.816,0.887,0.071
LHA,2,9,32.81,38.33,19.81,169.33,0.369,0.279,0.369,0.753,0.777,0.024
LHB,2,9,66.77,77.68,39.70,169.33,0.484,0.376,0.484,0.816,0.791,0.026
LHA,2,10,9.92,11.38,5.59,1215.95,0.369,0.272,0.369,0.753,0.869,0.116
LHB,2,10,17.56,19.66,8.83,1215.95,0.484,0.173,0.484,0.816,0.836,0.020
LHA,3,4,18.61,21.72,11.19,516.96,0.438,0.236,0.438,0.678,0.633,0.045
LHB,3,4,19.98,22.15,9.57,516.96,0.574,0.373,0.574,0.857,0.870,0.013
LHA,3,5,28.48,31.78,14.10,790.89,0.438,0.150,0.438,0.678,0.752,0.074
LHB,3,5,22.87,25.40,11.05,790.89,0.574,0.189,0.574,0.857,0.847,0.010
LHA,3,6,11.56,13.00,5.95,1103.21,0.438,0.190,0.438,0.678,0.844,0.166
LHB,3,6,16.01,17.89,7.98,1103.21,0.574,0.073,0.574,0.857,0.826,0.030
LHA,3,7,12.09,13.46,5.93,1635.36,0.438,0.360,0.438,0.678,0.891,0.212
LHB,3,7,12.11,13.47,5.92,1635.36,0.574,0.287,0.574,0.857,0.867,0.010
LHA,3,8,16.32,18.04,7.69,1562.19,0.438,0.503,0.503,0.678,0.874,0.196
LHB,3,8,16.90,18.69,7.98,1562.19,0.574,0.227,0.574,0.857,0.887,0.031
LHA,3,9,16.07,18.71,9.59,408.89,0.438,0.279,0.438,0.678,0.777,0.099
LHB,3,9,32.91,38.34,19.67,408.89,0.574,0.376,0.574,0.857,0.791,0.066
LHA,3,10,9.80,11.24,5.50,1361.05,0.438,0.272,0.438,0.678,0.869,0.191
LHB,3,10,16.31,18.29,8.27,1361.05,0.574,0.173,0.574,0.857,0.836,0.020
LHA,4,5,77.99,88.35,41.52,399.92,0.236,0.150,0.236,0.633,0.752,0.119
LHB,4,5,21.89,24.43,10.83,399.92,0.373,0.189,0.373,0.870,0.847,0.023
LHA,4,6,22.93,25.91,12.06,802.04,0.236,0.190,0.236,0.633,0.844,0.211
LHB,4,6,10.25,11.82,5.88,802.04,0.373,0.073,0.373,0.870,0.826,0.043
LHA,4,7,21.43,23.73,10.18,1308.13,0.236,0.360,0.360,0.633,0.891,0.258
LHB,4,7,10.48,11.79,5.41,1308.13,0.373,0.287,0.373,0.870,0.867,0.003
LHA,4,8,30.68,34.31,15.36,1112.33,0.236,0.503,0.503,0.633,0.874,0.242
LHB,4,8,14.98,16.58,7.10,1112.33,0.373,0.227,0.373,0.870,0.887,0.018
LHA,4,9,14.44,17.00,8.97,602.34,0.236,0.279,0.279,0.633,0.777,0.144
LHB,4,9,8.90,10.74,6.02,602.34,0.373,0.376,0.376,0.870,0.791,0.079
LHA,4,10,19.50,21.52,9.12,1053.57,0.236,0.272,0.272,0.633,0.869,0.236
LHB,4,10,11.78,13.53,6.66,1053.57,0.373,0.173,0.373,0.870,0.836,0.034
LHA,5,6,40.03,46.00,22.67,407.97,0.150,0.190,0.190,0.752,0.844,0.092
LHB,5,6,7.37,8.98,5.13,407.97,0.189,0.073,0.189,0.847,0.826,0.020
LHA,5,7,15.74,18.44,9.60,908.68,0.150,0.360,0.360,0.752,0.891,0.139
LHB,5,7,9.78,11.44,5.93,908.68,0.189,0.287,0.287,0.847,0.867,0.020
LHA,5,8,9.80,11.60,6.20,772.18,0.150,0.503,0.503,0.752,0.874,0.122
LHB,5,8,11.00,12.33,5.58,772.18,0.189,0.227,0.227,0.847,0.887,0.041
LHA,5,9,33.86,38.71,18.77,641.62,0.150,0.279,0.279,0.752,0.777,0.025
LHB,5,9,10.17,11.51,5.39,641.62,0.189,0.376,0.376,0.847,0.791,0.056
LHA,5,10,27.11,31.60,16.23,654.43,0.150,0.272,0.272,0.752,0.869,0.117
LHB,5,10,7.59,9.29,5.37,654.43,0.189,0.173,0.189,0.847,0.836,0.010
LHA,6,7,28.20,32.47,16.10,532.49,0.190,0.360,0.360,0.844,0.891,0.047
LHB,6,7,15.83,17.95,8.47,532.49,0.073,0.287,0.287,0.826,0.867,0.040
LHA,6,8,26.14,30.45,15.62,616.68,0.190,0.503,0.503,0.844,0.874,0.030
LHB,6,8,15.74,17.53,7.72,616.68,0.073,0.227,0.227,0.826,0.887,0.061
LHA,6,9,14.06,15.41,6.32,819.12,0.190,0.279,0.279,0.844,0.777,0.067
LHB,6,9,7.24,8.74,4.90,819.12,0.073,0.376,0.376,0.826,0.791,0.036
LHA,6,10,45.23,52.92,27.46,260.27,0.190,0.272,0.272,0.844,0.869,0.025
LHB,6,10,17.54,20.00,9.60,260.27,0.073,0.173,0.173,0.826,0.836,0.010
LHA,7,8,19.13,22.12,11.10,528.91,0.360,0.503,0.503,0.891,0.874,0.016
LHB,7,8,22.83,25.56,11.50,528.91,0.287,0.227,0.287,0.867,0.887,0.021
LHA,7,9,16.01,18.11,8.46,1331.43,0.360,0.279,0.360,0.891,0.777,0.114
LHB,7,9,8.35,9.80,5.13,1331.43,0.287,0.376,0.376,0.867,0.791,0.076
LHA,7,10,27.59,30.79,13.68,275.19,0.360,0.272,0.360,0.891,0.869,0.022
LHB,7,10,36.05,41.57,20.70,275.19,0.287,0.173,0.287,0.867,0.836,0.031
LHA,8,9,18.74,21.19,9.88,1374.64,0.503,0.279,0.503,0.874,0.777,0.097
LHB,8,9,10.78,12.09,5.47,1374.64,0.227,0.376,0.376,0.887,0.791,0.097
LHA,8,10,27.85,31.96,15.69,538.10,0.503,0.272,0.503,0.874,0.869,0.006
LHB,8,10,11.34,13.14,6.64,538.10,0.227,0.173,0.227,0.887,0.836,0.051
LHA,9,10,14.40,16.56,8.19,1058.43,0.279,0.272,0.279,0.777,0.869,0.092
LHB,9,10,9.51,10.97,5.47,1058.43,0.376,0.173,0.376,0.791,0.836,0.045
