,num_circles,experiment_number,LH,mae_all,rms_all,std_all,mae_experiment,rms_experiment,std_experiment,estimated_ecc,circle_0_index,circle_0_ecc,circle_1_index,circle_1_ecc,max_mocap_ecc
90,2,2,LHA,11.315320460691675,12.510276934710676,5.335780341712567,12.1796042150776,13.104573842895299,4.836020757602229,0.3036582441630486,0,0.1353111220017544,1,0.13035752865923714,0.1353111220017544
91,2,2,LHA,10.242875385769025,11.440602016454205,5.096163098891468,10.888883549873768,11.825259612588809,4.611830432963953,0.2852563121389047,0,0.1353111220017544,2,0.16471890807876066,0.16471890807876066
92,2,2,LHA,9.66097441180435,10.896698268080934,5.040199059566958,10.139240384935658,11.115505669287536,4.555246502710161,0.27256961196101404,0,0.1353111220017544,3,0.1874394717946061,0.1874394717946061
93,2,2,LHA,15.190772175056065,16.89592189673973,7.396797784600543,16.32176357959116,18.292259481311355,8.258740254031292,0.3725148567651977,0,0.1353111220017544,4,0.11618769413171921,0.1353111220017544
94,2,2,LHA,20.91854747155591,24.06726871315092,11.901587918898668,23.082397954325323,25.600484303634207,11.071933040746755,0.4016289912812503,0,0.1353111220017544,5,0.18388013681205576,0.18388013681205576
95,2,2,LHA,20.463284303822057,22.644600645274956,9.69700643935729,22.165158773591553,24.018634551220792,9.252056109134578,0.41120445375105696,0,0.1353111220017544,6,0.14551552021343625,0.14551552021343625
96,2,2,LHA,11.90013423882367,13.53412973203312,6.446663687635604,12.628947238257213,13.806399627487076,5.579100494451663,0.29379311667989927,0,0.1353111220017544,7,0.06661814563387489,0.1353111220017544
97,2,2,LHA,15.383203806501767,17.364475020461065,8.054938446930919,16.859413245511575,18.274266290647777,7.050460515354621,0.3447558660446403,0,0.1353111220017544,8,0.05333882018846302,0.1353111220017544
98,2,2,LHA,20.91831552058442,23.218902832324773,10.076781456309167,22.951076433730066,24.797093659498096,9.388500651914606,0.40900445999468465,0,0.1353111220017544,9,0.07908351415804565,0.1353111220017544
99,2,2,LHA,9.658309917319967,10.930768813766171,5.118472076802013,10.097275783662447,11.086547265167816,4.5778326762196055,0.27480527268460586,1,0.13035752865923714,2,0.16471890807876066,0.16471890807876066
100,2,2,LHA,9.256650311578452,10.595688327805744,5.155873946204794,9.511641853981244,10.57089908818421,4.612220373547435,0.2642455387877838,1,0.13035752865923714,3,0.1874394717946061,0.1874394717946061
101,2,2,LHA,13.625607425486255,15.476509442567158,7.33928925798706,14.675902284983373,17.06746558206254,8.712994520628902,0.3602581296606359,1,0.13035752865923714,4,0.11618769413171921,0.13035752865923714
102,2,2,LHA,24.91932684844161,28.21387205331347,13.230635875167899,27.965402318883914,30.527792437048298,12.242646128287197,0.4093635318197698,1,0.13035752865923714,5,0.18388013681205576,0.18388013681205576
103,2,2,LHA,17.151767879373594,18.942701267037066,8.040073998682841,18.531636194017736,20.23720432219193,8.131598781956448,0.37632815119512386,1,0.13035752865923714,6,0.14551552021343625,0.14551552021343625
104,2,2,LHA,12.412415922262154,13.944683028549932,6.355007139217189,13.37654765596654,14.451452939902243,5.469228911086574,0.2973700590580436,1,0.13035752865923714,7,0.06661814563387489,0.13035752865923714
105,2,2,LHA,16.068078896872773,17.966431059109965,8.038002585569565,17.689587782602317,19.051857459025722,7.074726618085036,0.3367927309734119,1,0.13035752865923714,8,0.05333882018846302,0.13035752865923714
106,2,2,LHA,32.26847477754116,36.096729615892954,16.17774472830108,34.703240589449784,37.984407578502356,15.44345530250767,0.471536772372286,1,0.13035752865923714,9,0.07908351415804565,0.13035752865923714
107,2,2,LHA,8.814458081714474,10.290465931348528,5.3102747395914545,8.762183178594789,9.953492825401385,4.721881549770956,0.254351198425244,2,0.16471890807876066,3,0.1874394717946061,0.1874394717946061
108,2,2,LHA,14.830253182929365,17.7502579936566,9.75373002351324,16.73661842396785,19.893277435019904,10.753050303852016,0.34210402442152393,2,0.16471890807876066,4,0.11618769413171921,0.16471890807876066
109,2,2,LHA,29.651973528583618,33.234193167691906,15.009065972525933,32.56298730611911,35.651415875420454,14.5146585086838,0.4068541916118331,2,0.16471890807876066,5,0.18388013681205576,0.18388013681205576
